t_ms,x_m,y_m,z_m,r,g,b
0,0.000,0.000,10.000,255,0,0
250,0.000,0.000,10.000,255,0,0
500,0.000,0.000,10.000,255,0,0
750,0.000,0.000,10.000,255,0,0
1000,0.000,0.000,10.000,255,0,0
1250,0.000,0.000,10.000,191,0,64
1500,0.000,0.000,10.000,128,0,128
1750,0.000,0.000,10.000,64,0,191
2000,0.000,0.000,10.000,0,0,255
2250,0.000,0.000,10.000,0,0,255
2500,0.000,0.000,10.000,0,0,255
2750,0.000,0.000,10.000,0,0,255
3000,0.000,0.000,10.000,0,0,255
3250,0.000,0.000,10.000,0,0,0
3500,0.000,0.000,10.000,0,0,255
3750,0.000,0.000,10.000,0,0,0
4000,0.000,0.000,10.000,0,0,255
